"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","903","New user can register successfully","tests","Fri May 08 10:13:49 UTC 2026","passed","Fri May 08 10:13:50 UTC 2026","TestAuth","test_notes_app","",""
"","39","Notes: Validate notes linking in sidebar","tests","Fri May 08 10:13:52 UTC 2026","passed","Fri May 08 10:13:52 UTC 2026","TestNotes","test_notes_app","",""
"","641","Login successful","tests","Fri May 08 10:13:50 UTC 2026","passed","Fri May 08 10:13:50 UTC 2026","TestAuth","test_notes_app","",""
"","695","Invalid login","tests","Fri May 08 10:13:50 UTC 2026","passed","Fri May 08 10:13:51 UTC 2026","TestAuth","test_notes_app","",""
"","87","Notes: Logout successfully","tests","Fri May 08 10:13:52 UTC 2026","passed","Fri May 08 10:13:53 UTC 2026","TestNotes","test_notes_app","",""
"","69","Login page load successfully","tests","Fri May 08 10:13:50 UTC 2026","passed","Fri May 08 10:13:50 UTC 2026","TestAuth","test_notes_app","",""
"","54","Notes: Validate note page load successfully","tests","Fri May 08 10:13:52 UTC 2026","passed","Fri May 08 10:13:52 UTC 2026","TestNotes","test_notes_app","",""
"","143","Notes: Search note","tests","Fri May 08 10:13:52 UTC 2026","passed","Fri May 08 10:13:52 UTC 2026","TestNotes","test_notes_app","",""
"","127","Notes: Create note","tests","Fri May 08 10:13:52 UTC 2026","passed","Fri May 08 10:13:52 UTC 2026","TestNotes","test_notes_app","",""
"","354","Register page loads corerctly","tests","Fri May 08 10:13:48 UTC 2026","passed","Fri May 08 10:13:49 UTC 2026","TestAuth","test_notes_app","",""
"","48","Notes: Dashboard load successfully","tests","Fri May 08 10:13:52 UTC 2026","passed","Fri May 08 10:13:52 UTC 2026","TestNotes","test_notes_app","",""
"","109","Notes: View note","tests","Fri May 08 10:13:52 UTC 2026","passed","Fri May 08 10:13:52 UTC 2026","TestNotes","test_notes_app","",""
"","206","Notes: Edit note","tests","Fri May 08 10:13:52 UTC 2026","passed","Fri May 08 10:13:52 UTC 2026","TestNotes","test_notes_app","",""
